"Summary",Assignee,Reporter,Issue Type,"Description",Priority,,
"Test issue",admin,admin,1,"",,,
"Rideouts",,,,"Rideouts are organised excursions of a group of motorcyclists. These excursions are organised centrally by the motorcycle shop and subscribed to by motorcyclists registered with the shop.",,,
"Day rideout",,,,"Day rideouts usually begin and end near the motorcycle shop and are simpler to administer. More riders can go on a day rideout.",,,
"Day rideout 30 rider max",,,,"day rideouts usually only have a maximum of 30 riders including leader schedule. A schedule of day by day activates and accommodation stopovers etc is provided",,,
"Meeting points",,,,"A scheduled stopping point list is provided",,,
"Multiday rideout",,,,"Ridouts may occur over multiple days. In this case accommodation and daily schedules are provided for each day.",,,
"Foreign rideout",,,,"Foreign ridouts are excursions to continental europe and require extra planning",,,
"Ferry",,,,"Foreign rideouts will involve a ferry booking for the riders has foreign ride leader. Foreign rides must have ride leaders with experience of the country. Ride leaders populate the ride information and schedule",,,
"Passport",,,,"All foreign riders must have a valid passport or visa for countries being entered",,,
"Accomodation",,,,"Multi day rideouts will include accommodation",,,
"Accomodation booking",,,,"accommodation must be booked in advance",,,
"15 riders max",,,,"Typically multi day rideouts are limited to 15 including the ride leaders",,,
"Description",,,,"A public description of the ride is provided",,,
"Route",,,,"A GPS readable waypoint schedule is provided",,,
"Price",,,,"All rides have a price for participation. Payment collection is out of scope.",,,
"Ride leader",,,,"All rides must have at least one ride leader. Additional ride leaders can also be appointed (deputy). Ride leaders can mange the ride schedule and plan the ride",,,
"riders",,,,"All rides have ride members who have registered for the ride. Ride members must have paid in order to participate",,,
"Reserve riders",,,,"A reserve list of riders in possible if he ride is oversubscribed",,,
"Notes",,,,"A notes section is provided for internal notes about ride progress",,,
"Users",,,,"Users have basic information and roles which determine what actions they can perform on the site.",,,
"Medical",,,,"All riders must have medical insurance and provide a GP contact details. All riders must supply any details of medical conditions which the drive leader needs to know about",,,
"Contact",,,,"All ricers must provide basic contact details; name  address  postcode  fixed and mobile phone numbers  alternative phone numbers if abroad",,,
"Emergency contact ",,,,"All riders must provide an emergency contact ",,,
"Driver insurance",,,,"All drivers on a rideout must have insurance. Evidence of Insurance must be seen verified by shop staff or ride leaders. Insurance is associated with the motorcyclist and not the motorcycle.",,,
"User role",,,,"All users will have an allocated list of roles",,,
"Administrator",,,,"Site admin has access to all areas",,,
"Ride leader",,,,"Ride leaders have access to rides to which they are allocated",,,
"Rider",,,,"The users who are riders have basic rights to apply to register for a ride and view rides on which they are registered.",,,
"Anonymous",,,,"Anonymous users can view basic web site details  list upcoming rideouts  register with the site and apply for a rideout",,,
"Non functional requirements",,,,"The system has a basic set of non functional requirements with which it must conform",,,
"Run in the cloud",,,,"",,,
"Deployable as java web app (war)",,,,"",,,
"Built using standard java technology",,,,"",,,
"Use a layered architecture",,,,"",,,
"Web layer",,,,"",,,
"Service layer",,,,"",,,
"Use a persistence DAO layer",,,,"",,,
"Client scripting layer",,,,"",,,
"Use a standard build and test framework",,,,"",,,
"Data security",,,,"The system must exhibit good data security and best practice for handing customer data",,,
"GPDR compliance",,,,"The site must be designed to enforce generally applicable good practice for GPDR compliance",,,
"Policy page",,,,"The company’s data handling policy page should be assessable on the website and particularly highlighted when the user is registered.",,,
"Permissions data usage",,,,"Users must explicitly give permissions for their data to be used as per the Data Policy Page Users will not be allowed to register on this site unless permission is given.",,,
"I have read the policy",,,,"Users registeing must indicate they have read the policy",,,
"I give permission for my personal data to be used",,,,"Users registering must give permissions including. Permission to share with other riders and ride leader  Permission to contact you by email or phone about he rideouts on which you have registered. Permission to send limited marketing information about future rideouts.",,,
"Encryption database",,,,"As a stretch objetive  personally identifiable information should be encrypted in the database",,,
"Username password and roles",,,,"Users must have unique usernames and passwords. Login determines which roles the user is assigned. User roles should be included in the Session object for use by pages and ReST interface to determine valid requests",,,
"Password md5 hash and salt",,,,"Passwords must be saved encrypted using a MD5 hash and Salt in the database",,,
"Https",,,,"All communications to the web site must be secured using HTTPS URL request encoding must not be used for secure communications such as passwords etc (use POST).",,,
"Rides schedule",,,,"Anonymous Site users can see a list of future planned rideouts and can select a rideout for more information and to begin registration process",,,
 ,,,,,,,

